"node_id","parent_id","edge_type","claim_text","node_type","figure_number","panel_id","panel_goal","visual_form","primary_or_supplement","evidence_status"
"S1","C5","supports","Steady-state ploidy mode is predictable from fitted parameters, but predictability depends on O2/resource level.","supporting_analysis_claim","Figure 5","B","Quantify how well fitted parameters discriminate ploidy mode across resource levels.","AUC-by-O2 panel with top single parameters or small feature sets annotated.","primary","not_audited"
"S2","C5","supports","Low-resource ploidy behavior is mainly death dominated.","supporting_analysis_claim","Figure 5","C","Show the low-O2 driver of Mode 1 versus Mode 2 behavior.","Low-O2 feature-importance or coefficient panel emphasizing stress-associated death scale and death-reduction benefit.","primary","not_audited"
"S3","C5","supports","Intermediate-resource behavior is the least reducible and most tradeoff dependent.","supporting_analysis_claim","Figure 5","D","Show that intermediate O2 depends on multi-parameter tradeoffs rather than one dominant axis.","Intermediate-O2 interaction or multi-feature panel covering death selectivity, missegregation sensitivity, buffering, thresholding, and baseline missegregation.","primary","not_audited"
"S4","C5","supports","High-resource ploidy behavior is mainly governed by baseline missegregation, with buffering modifying the outcome.","supporting_analysis_claim","Figure 5","E","Show how ongoing missegregation and buffering dominate when death pressure is reduced.","High-O2 feature panel emphasizing p_mis_base or baseline missegregation terms and buffering strength.","primary","not_audited"
"S5","C5","supports","Continuous dominant-ploidy analyses support the discrete mode analyses.","supporting_analysis_claim","Figure 5","F","Check that binary mode labels are consistent with continuous dominant-ploidy behavior.","Side-by-side scatter or calibration plot comparing continuous dominant ploidy with Mode 1/Mode 2 classification.","primary","not_audited"
"S6","C6","supports","Full fixed-O2 ploidy-response curve classes provide a richer phenotype than binary mode labels.","supporting_analysis_claim","Figure 6","B","Show that curve classes add structure beyond the binary mode readout.","Curve-class panel across the fixed-O2 grid showing nonmonotone, monotone, U-shaped, inverted-U-shaped, flat, and transition-plateau classes.","primary","not_audited"
"S7","C3","qualifies","Oxygen is an informative but incomplete proxy for resource limitation.","supporting_analysis_claim","Figure S4","A","Record the interpretation limit linking model oxygen to broader tumor resource stress.","Conceptual limitation schematic showing oxygen as the formal variable nested within nutrient, perfusion, waste, density, stromal, and tissue-structure constraints.","supplement","not_audited"
"S8","C2","qualifies","CIN-inducing therapies may have ploidy-dependent effects under the survival-filter framework.","supporting_analysis_claim","Figure S2","A","Separate therapeutic implication from primary result unless direct drug-response data are included.","Prediction schematic contrasting near-diploid sensitivity to missegregation dosage imbalance with high-ploidy buffering of chromosome gains or losses.","supplement","not_audited"
"S9","C7","qualifies","The current in vitro fit does not prove that division rate is ploidy independent.","supporting_analysis_claim","Figure S3","A","State the ablation needed before making a ploidy-independent division-rate claim.","Ablation-design panel comparing the current weak-penalty model with a ploidy-neutral division-rate refit or fully neutral alpha_o2/gamma_growth variant.","supplement","not_audited"
"M1","C5","qualifies","Fixed-O2 attractor analyses and finite-time experimental trajectories are related but not identical.","methods_guardrail","Figure S5","A","Clarify how long-time fixed-O2 attractors should be interpreted relative to measured trajectories.","Methods schematic contrasting dominant-eigenvector fixed-O2 attractor behavior with finite-time experimental trajectory constraints.","supplement","not_audited"
"M2","C6","qualifies","Parameter-landscape analyses need prior-aware preprocessing before PCA, UMAP, t-SNE, or clustering are interpreted biologically.","methods_guardrail","Figure S6","A","Document the preprocessing requirement behind landscape interpretation.","Workflow panel showing transformed/scaled prior-aware vectors feeding PCA/UMAP/t-SNE and cluster characterization in original or derived feature space.","supplement","not_audited"
"M3","C6","supports","Model-implied biological features help translate fitted parameters into interpretable regimes.","methods_guardrail","Figure S6","B","Bridge raw fitted parameters to biological regime labels.","Derived-feature overlay panel for net growth, turnover, death/proliferation balance, O2 thresholds, missegregation burden, post-missegregation viability, and effective oxygen supply regime.","supplement","not_audited"
"P1","C4","qualifies","Default soft-coupling settings and parameter lists affect comparability across joint-fit runs.","implementation_provenance_note","Figure S4","B","Make the joint-fit provenance assumptions visible before comparing runs.","Provenance table or schematic listing soft-coupling settings, parameter lists, and branch/config compatibility.","supplement","not_audited"
"P2","C6","qualifies","Start tables and bound expansion can silently change the optimizer region.","implementation_provenance_note","Figure S6","C","Record optimizer-region provenance for parameter-landscape analyses.","Traceability panel showing start-table source, bound expansion status, and resulting feasible parameter region.","supplement","not_audited"
"P3","C2","qualifies","The manuscript description of dead compartments should match the implementation.","implementation_provenance_note","Figure S2","B","Ensure the mechanism diagram names nonviable CIN-associated compartments correctly.","Model-routing schematic showing boundary-dropped ordinary missegregation daughters and out-of-grid WGD events entering the CIN-associated or boundary/nonviability-associated dead compartment.","supplement","not_audited"
"P4","C4","qualifies","The manuscript-described analysis should match the default implementation, including warm-start initialization when used.","implementation_provenance_note","Figure S4","C","Keep the analysis description consistent with the executed fitting workflow.","Run-provenance panel indicating warm-start initialization, analyzed config, and whether the manuscript workflow is default or explicitly specified.","supplement","not_audited"
